Date,Inflation
Jan 89,4.90
Feb 89,5
Mar 89,5
Apr 89,5.30
May 89,5.30
Jun 89,5.20
Jul 89,5.20
Aug 89,5
Sep 89,5.20
Oct 89,5.50
Nov 89,5.50
Dec 89,5.50
Jan 90,5.70
Feb 90,5.90
Mar 90,6
Apr 90,6.40
May 90,6.80
Jun 90,6.90
Jul 90,6.80
Aug 90,7.70
Sep 90,8.10
Oct 90,8.10
Nov 90,7.80
Dec 90,7.60
Jan 91,7.10
Feb 91,7
Mar 91,6.90
Apr 91,8.40
May 91,8.20
Jun 91,8.40
Jul 91,8.30
Aug 91,7.90
Sep 91,7.10
Oct 91,6.80
Nov 91,7.10
Dec 91,7.20
Jan 92,7
Feb 92,6.90
Mar 92,7.10
Apr 92,4.70
May 92,4.30
Jun 92,3.80
Jul 92,3.60
Aug 92,3
Sep 92,3
Oct 92,2.90
Nov 92,2.60
Dec 92,2.60
Jan 93,2.20
Feb 93,2.40
Mar 93,2.50
Apr 93,2.50
May 93,2.50
Jun 93,2.40
Jul 93,2.60
Aug 93,2.90
Sep 93,3.10
Oct 93,2.60
Nov 93,2.30
Dec 93,2.40
Jan 94,2.70
Feb 94,2.50
Mar 94,2.20
Apr 94,2
May 94,2
Jun 94,2
Jul 94,1.70
Aug 94,1.90
Sep 94,1.50
Oct 94,1.50
Nov 94,1.80
Dec 94,2
Jan 95,2.40
Feb 95,2.40
Mar 95,2.60
Apr 95,2.30
May 95,2.50
Jun 95,2.60
Jul 95,2.70
Aug 95,2.60
Sep 95,3
Oct 95,2.90
Nov 95,2.80
Dec 95,3
Jan 96,2.60
Feb 96,2.70
Mar 96,2.60
Apr 96,2.50
May 96,2.30
Jun 96,2.30
Jul 96,2.20
Aug 96,2.30
Sep 96,2.30
Oct 96,2.50
Nov 96,2.60
Dec 96,2.30
Jan 97,2.10
Feb 97,1.90
Mar 97,1.70
Apr 97,1.60
May 97,1.60
Jun 97,1.70
Jul 97,2
Aug 97,2
Sep 97,1.80
Oct 97,1.90
Nov 97,1.90
Dec 97,1.70
Jan 98,1.50
Feb 98,1.60
Mar 98,1.70
Apr 98,1.80
May 98,2
Jun 98,1.70
Jul 98,1.40
Aug 98,1.30
Sep 98,1.40
Oct 98,1.40
Nov 98,1.40
Dec 98,1.60
Jan 99,1.60
Feb 99,1.40
Mar 99,1.70
Apr 99,1.50
May 99,1.30
Jun 99,1.30
Jul 99,1.30
Aug 99,1.20
Sep 99,1.20
Oct 99,1.10
Nov 99,1.20
Dec 99,1.10
Jan 00,0.80
Feb 00,0.90
Mar 00,0.60
Apr 00,0.60
May 00,0.50
Jun 00,0.80
Jul 00,0.90
Aug 00,0.60
Sep 00,1
Oct 00,1
Nov 00,1.10
Dec 00,0.80
Jan 01,0.90
Feb 01,0.80
Mar 01,0.90
Apr 01,1.20
